ObjektID;Erwerbsart;Erwerbsdatum;Titel / Darstellung;Objektname;Datierung;Suchdatum Anfang;Suchdatum Ende;Material / Technik (für Objektbeschriftung);Maße;Beschreibung;Beschriftung(en) / Inschrift(en);Inventarnummer;Andere Nummer;Periode / Epoche / Abschnitt;Vermerke (allgemein);Provenienz / Herkunft / Produktionsort;Literatur / Publikationen;Zustandsbeschreibung (kurz, aktuell);Miturheber;Öffentlich zugänglich;Standort;Texteingabe;Grundstuecksnummer;KG;centroid_lat;centroid_lon;Objektanzahl;Schlagworte
1307091;(not assigned);;Sarkophag der Herennia Rufina;;3. Jh. n. Chr.;201;300;Kalksandstein (Corallinaceenkalkarenit der Hainburger Berge);L x B x H: 210 × 97 × 71 cm;"Der Steinsarkophag mit der Darstellung von zwei Eroten wurde von dem Offizier Caecilius Saturninus für seine Gemahlin Herennia Rufina errichtet, die mit 20 Jahren starb. Der aufwändig mit Reliefs dekorierte und farbig gefasste Sarkophag war wohl in einem Grabhaus oder einem Grabbezirk aufgestellt. ";"Herenniae I Rufinae Virgi- I niae obsequentis- I simae quae vixit ann(os) I
XX C(aius) Caecil(ius) Satur- I ninus (centurio) maritus 
f(aciendum) c(uravit)";CAR-S-1845;;;;;"F. Humer - A. Konecny, FÖ 48, 2009, 425 Abb. 32 (ed.pr.); F. Beutler, Grabdenkmäler für eine römische Wasserleitung, AC 5/2/2015, 36-38 mit Titelbild und Abb. 1; F. Beutler - G. Kremer, Eine Aschenkiste und zwei Sarkophage mit Grabinschriften aus dem Gräberfeld südlich der Zivilstadt von Carnuntum, CarnuntumJb 2020, 160-162 Abb. 9-15 Taf. 69-71 (mit Lit.); 

Inschrift: AE 2015, 1100; lupa.at/25276";;;1;Leihgabe, Archäologisches Museum Carnuntinum, Bad Deutsch-Altenburg;Carnuntum, Gräberfeld südlich der Zivilstadt;;;;;1;Körperbestattung, Frau, Reliefs/Dekor, Inschrift, Meißelspuren
1051632;(not assigned);;Sarkophag;Steinkiste;;;;;;Eine Längsseite weggebrochen.;;CAR-S-623;war in der Ausstellung IM LOT;;;;;;;0;Depot, Depot Kulturfabrik Hainburg, EG, II - 12 - 4;;;;;;1;Körperbestattung
1051802;(not assigned);;Grabplatte des Crescens Licinianus;Bruchstück Platte;Mitte 2. Jh. n. Chr.;151;200;Kalkstein;"H 45; B 160; max. T 27 cm";Vordersetie eines ehemaligen Sarkophages.;….Crescens Licinianus/ (trib(unus)? c)oh(ortis) XVIII vol(untariorum) dom(o) Maurit(ania)/ (vixit) an(nos) XLV Abudia Murinilla uxor/ (v(iva)) f(ecit);CAR-S-791;Lupa 1780;;;Carnuntum;"RLÖ 5, 1904 Sp. 139; An. Ep. 1905 n. 240; DESSAU, Hermes 45, 1910 S.5; OEHLER, Jahresbericht S. 18; ÖJh 29, 1935 Beibl. Sp. 323/442; RLÖ 18, 1937 Sp. 54; WAGNER, Dislokation S. 200; HARDINGER, Diss. Wien 1940 S. 22; PAVAN, Pannonia Superior S. 404 n. 7; MOCSY, Bevölkerung S. 239 n. 10; HILD, Sup. Ep. S. 107f.; VORBECK I n. 275; MC S. 63; VORBECK Militärinschriften S. 104 n. 290.";Oben und links abgebrochen.;;0;Depot, Depot Kulturfabrik Hainburg, EG, II - 15 - 3;;;;;;1;Inschrift, Mann, Reliefs/Dekor
1051804;(not assigned);;Platte mit einem Krater aus dem Weinranken wachsen;Sarkophagplatte;;;;Sandstein;"H 107; B 80; D 22 cm";"Das Reliefbild zeigt einen bauchigen Krater mit volutenartig gebildeten Henkeln und Kanneluren auf zwei Akanthusblättern. Aus der Gefäßmündung wachsen zwei sich oben kreuzende Ranken mit Weintrauben und Blättern empor. Laut J. Dell handelt es um die Ecke eines ""Colossalsarkophages"".";;CAR-S-793;;;;Petronell;"J. Dell, BVC 1890.1891, 53 Taf.II (Plan mit Fundort des mit ""u"" gekennzeichneten Reliefs), 57f. Abb. 28 (Zeichung des Relief und des Sarkophagfragments) = Dell, AEM 16, 1893 S. 192 Abb. 28 links; CSIRÖ I 4 S. 23 n. 441.";Rand oben mit Zement ausgebessert, Relief stark verscheuert.;;0;Depot, Depot Kulturfabrik Hainburg, EG, II - 15 - 4;Petronell-Carnuntum;;;;;1;Reliefs/Dekor, Spolie
1051848;(not assigned);;Sarkophagplatte mit zwei nackte Genien;Teil Sarkophagplatte;;;;;;;;CAR-S-837;;;;;;3 Fragmente;;0;Depot, Depot Kulturfabrik Hainburg, EG, II - 11 - 5;;;;;;1;Reliefs/Dekor
1051925;(not assigned);;Krater mit Efeuranke;Bruchstück Sarkophagplatte;;;;Kalkstein;"H 57; B 92; D 9 cm";Krater mit Efeuranken.;;CAR-S-914;;;;Petronell;"DELL, AEM 16, 1893 S. 192 Abb. 28 rechts = BVC 1890-91 (1893) S. 57 Abb. 28 rechts; 58 (Beschreibung); CSIRÖ I 4 S. 23 n. 440.";Unten abgeschlagen, Sprung durch die Mitte, links oben Teil eines Profils.;;0;Depot, Depot Kulturfabrik Hainburg, EG, II - 11 - 4;Petronell;;;;;1;Reliefs/Dekor
1051983;(not assigned);;Glatter Säulenschaft;Bruchstück;;;;;;Spolie, Schaft wurde ausgehölt, Sarkophag? Trog?;;CAR-S-972;;;;;;;;0;Depot, Depot Kulturfabrik Hainburg, EG, I - 17 - 1;;;;;;1;Spolie
1052103;(not assigned);;Basis eines verkröpften Pilasters;Pilasterbasis;;;;;"H 27; B 68; T max. 49 cm";Auf die Plinthe folgt ein fast gerader Profilstreifen, dann eine schmale Leiste. Das Stück ist in einen Kindersarkophag und schließlich in ein Wasserbecken umgearbeitet.;;CAR-S-1092;"Ertel 2.4.3.; alte Inv. Nr. 28";;;;Ch. Ertel, Römische Architektur in Carnuntum, 1991, Taf. 7, 34, Nr. 2.4.3.;;;0;Depot, Depot Kulturfabrik Hainburg, EG, I - 20 - 3;;;;;;1;Spolie, Kindbestattung (sekundär)
1052132;(not assigned);;Säulenbasis/Postament;Säulenbasis/Postament;;;;;;gehört zu CAR-S-1122, Spolie verwendet als Sarkophag;;CAR-S-1121;Ertel 2.3.1., alte Inv. Nr. nach Ertel 4200;;;;"E. Vorbeck, Mitt. d. Vereins Carnuntum 3, 1950, 10; Ch. Ertel, Römische Architektur in Carnuntum, 1991, Taf. 6, 33, Nr. 2.3.1.";;;0;Depot, Depot Kulturfabrik Hainburg, EG, I - 22 - 1;;;;;;1;Spolie
1052133;(not assigned);;Säulenbasis/Postament;Säulenbasis/Postament;;;;;;gehört zu CAR-S-1121, Spolie verwendet als Sarkophag;;CAR-S-1122;Ertel 2.3.1., alte Inv. Nr. nach Ertel 4200;;;;"E. Vorbeck, Mitt. d. Vereins Carnuntum 3, 1950, 10; Ch. Ertel, Römische Architektur in Carnuntum, 1991, Taf. 6, 33, Nr. 2.3.1.";;;0;Depot, Depot Kulturfabrik Hainburg, EG, I - 22 - 1;;;;;;1;Spolie
1052184;(not assigned);;Bauquader (Spolie eines kleinen Sarkophags?);Quader Bruchstück;;;;;;;;CAR-S-1173;A52/86;;;;;;;0;Depot, Depot Kulturfabrik Hainburg, EG, I - 23 - 4;;;;;;1;Spolie
1052289;Schenkung;2006;Sarkophagdeckel;Sarkophagdeckel;;;;Kalksandstein;"L 143; B 64; T 23 cm";Zentrales Feld mit Bearbeitungsspuren (Meißel). An beiden Schmalseiten Befestigungsspuren.;;CAR-S-1278;;;;;;;;0;Depot, Depot Kulturfabrik Hainburg, EG, II - 08 - 1;;;;;;1;Deckel, Meißelspuren
1307092;(not assigned);;Aschenkiste mit Malerei;;3. Jh. n. Chr.;201;300;Kalksandstein;H x L x B: 29 × 46 × 38 cm;Die Außenseiten der Aschenkiste sind nur grob geglättet und weisen keine Verzierungen auf. An den Innenwänden zeigt sich hingegen eine reiche, polychrome Bemalung. Während an den beiden Längsseiten je eine rot-grüne Girlande zu sehen ist, wird an der einen Schmalseite ein Pfau, an der anderen wohl eine Taube abgebildet. Der Pfau ist im Grabkontext als Symbol der Unsterblichkeit und Auferstehung zu interpretieren. Die Taube galt als Friedenssymbol. Vögel wurden allgemein mit der Befreiung vom physischen Gewicht assoziiert und haben daher starke Symbolkraft im Zusammenhang mit Jenseitsvorstellungen. Der nur bruchstückhaft erhaltene Deckel der Aschenkiste weist an der Unterseite eine blaue Fassung auf, die als Himmelsdarstellung gedeutet werden kann.;;CAR-S-1846;;;"Achtung: Der Deckel und der Leichenbrand der Aschenkiste befinden sich derzeit im EG, Regal III-10-2

Achtung: Der Deckel und der Leichenbrand wurden am 25.09.2025 zwecks geplanter Begutachtung (Kremer/Kirchengast) ins 1. OG Westsaal transportiert.";;"Farka 2011, 64 f. Abb. 6; Igl 2011; Kat. Carnuntum 2011, 399 Nr. 834; Kat. Carnuntum 2013, 328 Nr. 700.";;;1;Leihgabe, Archäologisches Museum Carnuntinum, Bad Deutsch-Altenburg;Carnuntum, Gräberfeld südlich der Zivilstadt;;;;;1;Brandbestattung, Malerei, Deckel vorhanden, Dekor (Pfau/Taube)
1510577;Grabung;2011;Steinkistengrab;;3.-4. Jh. n. Chr.;201;400;Sandstein;L x B x H: 211 x 118 x 74 cm;"Das Grab (1 auf Planfoto) wurde aus 6 Steinplatten unterschiedlicher Größe (FN 5-10) erbaut, die innen auf geweißtem Untergrund mit dunkelroten Girlanden bemalt sind. Letztere sind in den Innenecken um gleichfarbige hängende Schleifen (?) und florale Elemente ergänzt. Auch die Unterseite der 20cm dicken Deckplatte (FN 11-12) ist geweißt und mit dunkelroten Floralmotiven bzw. kreisförmigen Ornamenten verziert. Der aus einem Mörtelbett bestehende Fußboden (FN 13) wurde mit großen Ziegelfragmenten und flachen Bruchsteinen gefestigt und mit einer dünnen Schicht aus feinem Ziegelstaub bedeckt. Das wohl beraubte Grab enthielt einige Knochen einer erwachsenen Person.
Das Ost-West orientierte Grab wurde sekundär im Süden um das leicht nach Westen verschobene Grab 2 (CAR-S-1935) erweitert, mit dem es sich die beiden südlichen Steinplatten (FN 6.7) teilt.";"""'-""";CAR-S-1934;16111.11.01;spätantik;Es wurden bei den Maßen jeweils die größten Werte genommen.;;M. Krenn - M. Hinterwallner, FÖ 50, 2011, 252 f. Abb. 18;Das mehrteilige Steinkistengrab (Nr. 1 mit 14 Fundnummern) ist zusammen mit Grab (CAR-S-1935) nach Zwischenstationen in St. Pölten und Depot Carnuntum seit 2020 im Heimatmuseum Guntramsdorf im Rathaus der Marktgemeinde ausgestellt. Die zweiteilige Deckpla;;0;Leihgabe;Bahnhof WLB Gst. 124/4;124/4;;48.1097;16.86162;14;Steinkistengrab, Malerei/Dekor, Beraubt, Spätantik
